product_id,product_name,data_price,image_link,description,href,category
s69336123,FINNALA,1634.00,https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-with-headrest-gunnared-medium-gray__0579295_pe675187_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-with-headrest-gunnared-medium-gray-s69336123/,sofas-sectionals-fu003
s39575737,FINNALA,2399.00,https://www.ikea.com/us/en/images/products/finnala-sectional-4-seat-with-chaise-grann-bomstad-golden-brown__0817646_pe774070_s5.jpg?f=xxs,"Sectional, 4-seat with chaise",https://www.ikea.com/us/en/p/finnala-sectional-4-seat-with-chaise-grann-bomstad-golden-brown-s39575737/,sofas-sectionals-fu003
30506263,ÄPPLARYD,550.00,https://www.ikea.com/us/en/images/products/aepplaryd-chaise-section-lejde-light-gray__0992962_pe820367_s5.jpg?f=xxs,Chaise section,https://www.ikea.com/us/en/p/aepplaryd-chaise-section-lejde-light-gray-30506263/,sofas-sectionals-fu003
s09336121,FINNALA,1634.00,https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-with-headrest-gunnared-beige__0579304_pe675191_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-with-headrest-gunnared-beige-s09336121/,sofas-sectionals-fu003
60456431,FINNALA,1099.00,https://www.ikea.com/us/en/images/products/finnala-loveseat-section-grann-bomstad-golden-brown__0819137_pe774695_s5.jpg?f=xxs,Loveseat section,https://www.ikea.com/us/en/p/finnala-loveseat-section-grann-bomstad-golden-brown-60456431/,sofas-sectionals-fu003
s29542846,FINNALA,1219.00,https://www.ikea.com/us/en/images/products/finnala-loveseat-sleeper-section-gunnared-medium-gray__0685988_pe721515_s5.jpg?f=xxs,Loveseat sleeper section,https://www.ikea.com/us/en/p/finnala-loveseat-sleeper-section-gunnared-medium-gray-s29542846/,sofas-sectionals-fu003
s39469483,JÄTTEBO,2710.00,https://www.ikea.com/us/en/images/products/jaettebo-4-5-seat-mod-sofa-w-chaise-right-samsala-gray-beige__1109598_pe870089_s5.jpg?f=xxs,4.5-seat mod sofa w chaise,https://www.ikea.com/us/en/p/jaettebo-4-5-seat-mod-sofa-w-chaise-right-samsala-gray-beige-s39469483/,sofas-sectionals-fu003
s99575602,FINNALA,3999.00,https://www.ikea.com/us/en/images/products/finnala-corner-sectional-5-seat-w-chaise-grann-bomstad-black__0817692_pe776083_s5.jpg?f=xxs,"Corner sectional, 5-seat w chaise",https://www.ikea.com/us/en/p/finnala-corner-sectional-5-seat-w-chaise-grann-bomstad-black-s99575602/,sofas-sectionals-fu003
s89319575,FINNALA,115.00,https://www.ikea.com/us/en/images/products/finnala-armrest-gunnared-medium-gray__0531860_pe647604_s5.jpg?f=xxs,Armrest,https://www.ikea.com/us/en/p/finnala-armrest-gunnared-medium-gray-s89319575/,sofas-sectionals-fu003
s49409177,FINNALA,3199.00,https://www.ikea.com/us/en/images/products/finnala-sectional-4-seat-corner-grann-bomstad-black__0817648_pe774076_s5.jpg?f=xxs,"Sectional, 4-seat corner",https://www.ikea.com/us/en/p/finnala-sectional-4-seat-corner-grann-bomstad-black-s49409177/,sofas-sectionals-fu003
s59319567,FINNALA,919.00,https://www.ikea.com/us/en/images/products/finnala-sofa-section-gunnared-beige__0531865_pe647607_s5.jpg?f=xxs,Sofa section,https://www.ikea.com/us/en/p/finnala-sofa-section-gunnared-beige-s59319567/,sofas-sectionals-fu003
s09575734,FINNALA,2299.00,https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-grann-bomstad-black__0817413_pe774028_s5.jpg?f=xxs,Sofa with chaise,https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-grann-bomstad-black-s09575734/,sofas-sectionals-fu003
s79506049,LÅNGARYD,2499.00,https://www.ikea.com/us/en/images/products/langaryd-sofa-w-chaise-left-lejde-light-gray-wood__0992779_pe820245_s5.jpg?f=xxs,"Sofa w chaise, left",https://www.ikea.com/us/en/p/langaryd-sofa-w-chaise-left-lejde-light-gray-wood-s79506049/,sofas-sectionals-fu003
s19336125,FINNALA,1634.00,https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-with-headrest-orrsta-black-blue__0579303_pe675185_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-with-headrest-orrsta-black-blue-s19336125/,sofas-sectionals-fu003
s39510411,JÄTTEBO,1570.00,https://www.ikea.com/us/en/images/products/jaettebo-modular-loveseat-with-headrest-samsala-gray-beige__1179832_pe896101_s5.jpg?f=xxs,Modular loveseat,https://www.ikea.com/us/en/p/jaettebo-modular-loveseat-with-headrest-samsala-gray-beige-s39510411/,sofas-sectionals-fu003
s79575721,FINNALA,2399.00,https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-with-headrest-grann-bomstad-golden-brown__0817210_pe773910_s5.jpg?f=xxs,Sofa with chaise,https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-with-headrest-grann-bomstad-golden-brown-s79575721/,sofas-sectionals-fu003
70456435,FINNALA,601.00,https://www.ikea.com/us/en/images/products/finnala-corner-section-grann-bomstad-golden-brown__0819145_pe774711_s5.jpg?f=xxs,Corner section,https://www.ikea.com/us/en/p/finnala-corner-section-grann-bomstad-golden-brown-70456435/,sofas-sectionals-fu003
s19542842,FINNALA,1599.00,https://www.ikea.com/us/en/images/products/finnala-loveseat-sleeper-section-grann-bomstad-golden-brown__0819147_pe774710_s5.jpg?f=xxs,Loveseat sleeper section,https://www.ikea.com/us/en/p/finnala-loveseat-sleeper-section-grann-bomstad-golden-brown-s19542842/,sofas-sectionals-fu003
40455003,FINNALA,400.00,https://www.ikea.com/us/en/images/products/finnala-1-seat-section-grann-bomstad-black__0819134_pe774692_s5.jpg?f=xxs,1-seat section,https://www.ikea.com/us/en/p/finnala-1-seat-section-grann-bomstad-black-40455003/,sofas-sectionals-fu003
s19485304,JÄTTEBO,850.00,https://www.ikea.com/us/en/images/products/jaettebo-chaise-module-right-samsala-dark-yellow-green__1109615_pe870105_s5.jpg?f=xxs,"Chaise module, right",https://www.ikea.com/us/en/p/jaettebo-chaise-module-right-samsala-dark-yellow-green-s19485304/,sofas-sectionals-fu003
40456432,FINNALA,1199.00,https://www.ikea.com/us/en/images/products/finnala-sofa-section-grann-bomstad-golden-brown__0819139_pe774694_s5.jpg?f=xxs,Sofa section,https://www.ikea.com/us/en/p/finnala-sofa-section-grann-bomstad-golden-brown-40456432/,sofas-sectionals-fu003
s39305670,SÖDERHAMN,60.00,https://www.ikea.com/us/en/images/products/soederhamn-armrest-viarp-beige-brown__0802815_pe768604_s5.jpg?f=xxs,Armrest,https://www.ikea.com/us/en/p/soederhamn-armrest-viarp-beige-brown-s39305670/,sofas-sectionals-fu003
20456433,FINNALA,200.00,https://www.ikea.com/us/en/images/products/finnala-armrest-grann-bomstad-golden-brown__0819149_pe774717_s5.jpg?f=xxs,Armrest,https://www.ikea.com/us/en/p/finnala-armrest-grann-bomstad-golden-brown-20456433/,sofas-sectionals-fu003
50512258,SLATORP,899.00,https://www.ikea.com/us/en/images/products/slatorp-sofa-with-chaise-tallmyra-white-black__0818173_pe774336_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/slatorp-sofa-with-chaise-tallmyra-white-black-50512258/,sofas-sectionals-fu003
s99431982,LAGKAPTEN / ALEX,219.99,https://www.ikea.com/us/en/images/products/lagkapten-alex-desk-white__1022432_pe832720_s5.jpg?f=xxs,"Desk, 55 1/8x23 5/8 """,https://www.ikea.com/us/en/p/lagkapten-alex-desk-white-s99431982/,tables-desks-fu004
s29932181,LINNMON / ADILS,49.99,https://www.ikea.com/us/en/images/products/linnmon-adils-table-white__0737165_pe740925_s5.jpg?f=xxs,"Table, 39 3/8x23 5/8 """,https://www.ikea.com/us/en/p/linnmon-adils-table-white-s29932181/,tables-desks-fu004
